,Line ID,Shape ID,Departure Time,Vehicle ID,Scheduled Travel Time (min),Travel Time (min),Distance (m),Energy Consumption (kWh)
0,1-82,1-82-A-59,05:26:00,veh_49178_bus,65.0,64.15,34570.18708199623,38.63229475379291
1,1-82,1-82-A-59,05:55:00,veh_49125_bus,66.0,66.36666666666666,34570.18708199623,42.992587190289406
2,1-82,1-82-A-59,06:21:00,veh_49154_bus,76.0,78.7,34570.18708199623,38.53941517024917
3,1-82,1-82-A-59,06:49:00,veh_49176_bus,78.0,117.65,34570.18708199623,43.261963259916925
4,1-82,1-82-A-59,07:18:00,veh_49141_bus,79.0,149.0,34570.18708199623,39.05078006481834
5,1-82,1-82-A-59,07:48:00,veh_49140_bus,77.0,125.03333333333333,34570.18708199623,42.19577778691076
6,1-82,1-82-A-59,10:24:00,veh_49126_bus,72.0,44.93333333333333,34570.18708199623,30.760026370809157
7,1-82,1-82-A-59,12:24:00,veh_49149_bus,73.0,284.3833333333333,34570.18708199623,25.501783511341724
8,1-82,1-82-A-59,14:24:00,veh_49097_bus,75.0,446.98333333333335,34570.18708199623,29.0870344355413
9,1-82,1-82-A-59,15:52:00,veh_49137_bus,78.0,361.53333333333336,34570.18708199623,27.47055054499528
10,1-82,1-82-A-59,16:52:00,veh_49177_bus,75.0,297.4,34570.18708199623,23.147509118133236
11,1-82,1-82-A-59,18:23:00,veh_49098_bus,71.0,206.21666666666667,34570.18708199623,22.142428167504423
12,1-82,1-82-A-59,19:26:00,veh_49160_bus,68.0,147.31666666666666,34570.18708199623,25.903816670169014
13,1-82,1-82-A-59,21:56:00,veh_49155_bus,65.0,479.95,34570.18708199623,26.229734979862037
14,1-82,1-82-A-59,23:28:00,veh_49157_bus,63.0,26.533333333333335,34570.18708199623,22.023815420877096
15,1-82,1-82-R-60,06:01:00,veh_48994_bus,73.0,74.8,33794.69573179973,27.600671934870945
16,1-82,1-82-R-60,06:28:00,veh_49172_bus,76.0,81.38333333333334,33794.69573179973,29.239678198569443
17,1-82,1-82-R-60,07:26:00,veh_49159_bus,78.0,77.71666666666667,33794.69573179973,30.426479274623244
18,1-82,1-82-R-60,08:24:00,veh_49184_bus,79.0,107.55,33794.69573179973,27.068080599974103
19,1-82,1-82-R-60,10:26:00,veh_49105_bus,78.0,92.48333333333333,33794.69573179973,6.652554883360149
20,1-82,1-82-R-60,12:26:00,veh_49104_bus,78.0,5.45,33794.69573179973,3.3256418648824666
21,1-82,1-82-R-60,14:25:00,veh_49183_bus,84.0,4.316666666666666,33794.69573179973,2.588437317230819
22,1-82,1-82-R-60,15:50:00,veh_49138_bus,90.0,1.35,33794.69573179973,1.7723409567938047
23,1-82,1-82-R-60,16:20:00,veh_49182_bus,89.0,1.0166666666666666,33794.69573179973,1.414758084709677
24,1-82,1-82-R-60,16:50:00,veh_49078_bus,86.0,0.9833333333333333,33794.69573179973,0.505316684033068
25,1-82,1-82-R-60,17:27:00,veh_49139_bus,78.0,0.38333333333333336,33794.69573179973,0.7094521280876154
26,1-82,1-82-R-60,17:58:00,veh_49106_bus,76.0,0.55,33794.69573179973,0.8843393530307667
27,1-82,1-82-R-60,18:28:00,veh_49107_bus,76.0,0.6166666666666667,33794.69573179973,0.8041618461017299
